Config,Model,Layers (Base / Large),Base_Acc,Base_F1,Base_Spk_Acc,Base_Spk_Vote,Large_Acc,Large_F1,Large_Spk_Acc,Large_Spk_Vote
EN -> EN,CLeaD,L8 / L16,0.7021523178807947,0.6057418365110673,0.0,-,0.7385761589403973,0.571506105834464,0.0,-
EN -> EN,CLeaD w/o SupCon,L8 / L16,0.6882450331125828,0.6072992700729927,0.0,-,0.7067880794701987,0.4699191858724932,0.0,-
EN -> ZH,LR,L8 / L16,0.5,0.2723404255319149,0.5,"0/5 MDD, 5/5 HC",0.4477861319966583,0.0663841807909604,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,SVM-Linear,L8 / L16,0.4995822890559732,0.2436868686868686,0.5,"0/5 MDD, 5/5 HC",0.4582289055973266,0.0580973129992737,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,SVM-RBF,L8 / L16,0.5334168755221387,0.2961562696912413,0.5,"0/5 MDD, 5/5 HC",0.474937343358396,0.0498866213151927,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,GRU,L8 / L16,0.6,0.6,0.6,"3/5 MDD, 3/5 HC",0.5,0.6153846153846154,0.5,"4/5 MDD, 1/5 HC"
EN -> ZH,CLeaD,L8 / L16,0.4924812030075188,0.3100511073253833,0.5,"0/5 MDD, 5/5 HC",0.4853801169590643,0.0595419847328244,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,CLeaD w/o SupCon,L8 / L16,0.4987468671679197,0.2957746478873239,0.5,"0/5 MDD, 5/5 HC",0.4899749373433584,0.0317208564631245,0.5,"0/5 MDD, 5/5 HC"
ZH -> EN,LR,L8 / L16,0.5496688741721855,0.3904078888390856,0.0,-,0.5024834437086093,0.4448549787548494,0.0,-
ZH -> EN,SVM-Linear,L8 / L16,0.5490066225165563,0.3862100045065345,0.0,-,0.48841059602649,0.4103053435114503,0.0,-
ZH -> EN,SVM-RBF,L8 / L16,0.5701986754966888,0.4213107445385644,0.0,-,0.525,0.393830551447285,0.0,-
ZH -> EN,GRU,L8 / L16,0.6521739130434783,0.0,0.6521739130434783,-,0.6521739130434783,0.0,0.6521739130434783,-
ZH -> EN,CLeaD,L8 / L16,0.5329470198675497,0.370733883560116,0.0,-,0.4822847682119205,0.3556562950752112,0.0,-
ZH -> EN,CLeaD w/o SupCon,L8 / L16,0.5513245033112583,0.3620527306967985,0.0,-,0.5117549668874172,0.4574057037718491,0.0,-
ZH -> ZH,LR,L8 / L16,0.5154553049289892,0.4528301886792453,0.7,"2/5 MDD, 5/5 HC",0.492063492063492,0.3895582329317269,0.6,"2/5 MDD, 4/5 HC"
ZH -> ZH,SVM-Linear,L8 / L16,0.5162907268170426,0.4563380281690141,0.8,"3/5 MDD, 5/5 HC",0.4837092731829573,0.3776435045317221,0.6,"2/5 MDD, 4/5 HC"
ZH -> ZH,SVM-RBF,L8 / L16,0.5292397660818714,0.4584334454589139,0.7,"2/5 MDD, 5/5 HC",0.4561403508771929,0.3225806451612903,0.5,"1/5 MDD, 4/5 HC"
ZH -> ZH,GRU,L8 / L16,0.5,0.2857142857142857,0.5,"1/5 MDD, 4/5 HC",0.6,0.3333333333333333,0.6,"1/5 MDD, 5/5 HC"
ZH -> ZH,CLeaD,L8 / L16,0.5129490392648287,0.4858906525573192,0.7,"3/5 MDD, 4/5 HC",0.4812030075187969,0.3483735571878279,0.6,"2/5 MDD, 4/5 HC"
ZH -> ZH,CLeaD w/o SupCon,L8 / L16,0.5279866332497911,0.4659735349716446,0.6,"2/5 MDD, 4/5 HC",0.4724310776942356,0.3942446043165468,0.7,"3/5 MDD, 4/5 HC"
MIX -> EN,LR,L8 / L16,0.6443708609271523,0.5291538798772468,0.0,-,0.6379139072847683,0.519234996702572,0.0,-
MIX -> EN,SVM-Linear,L8 / L16,0.6536423841059603,0.5501075268817204,0.0,-,0.6536423841059603,0.5416301489921121,0.0,-
MIX -> EN,SVM-RBF,L8 / L16,0.6887417218543046,0.5631970260223048,0.0,-,0.6852649006622517,0.5134374200153571,0.0,-
MIX -> EN,GRU,L8 / L16,0.5217391304347826,0.4210526315789473,0.5217391304347826,-,0.4782608695652174,0.4545454545454545,0.4782608695652174,-
MIX -> EN,CLeaD,L8 / L16,0.6231788079470199,0.5503753457131568,0.0,-,0.6564569536423841,0.5379648185259408,0.0,-
MIX -> EN,CLeaD w/o SupCon,L8 / L16,0.6451986754966887,0.549505991170906,0.0,-,0.6890728476821192,0.4578521939953811,0.0,-
MIX -> ZH,LR,L8 / L16,0.5012531328320802,0.4726148409893993,0.7,"3/5 MDD, 4/5 HC",0.4473684210526316,0.3414634146341463,0.5,"1/5 MDD, 4/5 HC"
MIX -> ZH,SVM-Linear,L8 / L16,0.5054302422723476,0.4820647419072616,0.7,"3/5 MDD, 4/5 HC",0.4360902255639097,0.3256743256743257,0.5,"1/5 MDD, 4/5 HC"
MIX -> ZH,SVM-RBF,L8 / L16,0.4991645781119465,0.4384074941451991,0.6,"2/5 MDD, 4/5 HC",0.4536340852130325,0.2821075740944017,0.4,"0/5 MDD, 4/5 HC"
MIX -> ZH,GRU,L8 / L16,0.7,0.5714285714285714,0.7,"2/5 MDD, 5/5 HC",0.5,0.0,0.5,"0/5 MDD, 5/5 HC"
MIX -> ZH,CLeaD,L8 / L16,0.5254803675856308,0.5613899613899614,0.7,"4/5 MDD, 3/5 HC",0.4778613199665831,0.3699596774193548,0.7,"3/5 MDD, 4/5 HC"
MIX -> ZH,CLeaD w/o SupCon,L8 / L16,0.5096073517126148,0.4749552772808587,0.7,"3/5 MDD, 4/5 HC",0.4565580618212197,0.2396259497369959,0.4,"0/5 MDD, 4/5 HC"
EN -> EN,LR,L9 / L18,0.6632450331125828,0.6035087719298246,0.0,-,0.6986754966887417,0.614570097416349,0.0,-
EN -> EN,SVM-Linear,L9 / L18,0.6660596026490067,0.6215049727903922,0.0,-,0.7001655629139073,0.6252845023794744,0.0,-
EN -> EN,SVM-RBF,L9 / L18,0.378476821192053,0.5329684000995273,0.0,-,0.7170529801324503,0.5661335364305662,0.0,-
EN -> EN,GRU,L9 / L18,0.782608695652174,0.5454545454545454,0.782608695652174,-,0.6956521739130435,0.4615384615384615,0.6956521739130435,-
EN -> EN,CLeaD,L9 / L18,0.6736754966887417,0.5923474663908996,0.0,-,0.7223509933774834,0.5751203445654928,0.0,-
EN -> EN,CLeaD w/o SupCon,L9 / L18,0.669205298013245,0.6046695686584883,0.0,-,0.7163907284768212,0.5955135773317591,0.0,-
EN -> ZH,LR,L9 / L18,0.4903926482873851,0.2258883248730964,0.5,"0/5 MDD, 5/5 HC",0.4436090225563909,0.1024258760107816,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,SVM-Linear,L9 / L18,0.4903926482873851,0.1899070385126162,0.5,"0/5 MDD, 5/5 HC",0.4586466165413533,0.0703012912482066,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,SVM-RBF,L9 / L18,0.5183792815371763,0.6754855052068675,0.5,"5/5 MDD, 0/5 HC",0.4720133667502088,0.0733137829912023,0.5,"0/5 MDD, 5/5 HC"
EN -> ZH,GRU,L9 / L18,0.6,0.5,0.6,"2/5 MDD, 4/5 HC",0.5,0.5454545454545454,0.5,"3/5 MDD, 2/5 HC"
